z,H_z_kms_Mpc
0.001,67.861
0.002,67.892
0.003,67.924
0.004,67.956
0.005,67.988
0.006,68.02
0.007,68.052
0.008,68.084
0.009000000000000001,68.116
0.010000000000000002,68.148
0.011,68.18
0.012,68.213
0.013000000000000001,68.245
0.014000000000000002,68.277
0.015,68.31
0.016,68.342
0.017,68.375
0.018000000000000002,68.407
0.019000000000000003,68.44
0.02,68.472
0.021,68.505
0.022000000000000002,68.538
0.023,68.571
0.024,68.603
0.025,68.636
0.026000000000000002,68.669
0.027000000000000003,68.702
0.028,68.735
0.029,68.768
0.030000000000000002,68.801
0.031,68.835
0.032,68.868
0.033,68.901
0.034,68.934
0.035,68.968
0.036000000000000004,69.001
0.037000000000000005,69.035
0.038,69.068
0.039,69.102
0.04,69.135
0.041,69.169
0.042,69.203
0.043000000000000003,69.237
0.044000000000000004,69.27
0.045,69.304
0.046,69.338
0.047,69.372
0.048,69.406
0.049,69.44
0.05,69.474
0.051000000000000004,69.508
0.052000000000000005,69.543
0.053000000000000005,69.577
0.054,69.611
0.055,69.646
0.056,69.68
0.057,69.714
0.058,69.749
0.059000000000000004,69.783
0.060000000000000005,69.818
0.061,69.853
0.062,69.887
0.063,69.922
0.064,69.957
0.065,69.992
0.066,70.027
0.067,70.062
0.068,70.097
0.069,70.132
0.07,70.167
0.07100000000000001,70.202
0.07200000000000001,70.237
0.07300000000000001,70.272
0.074,70.308
0.075,70.343
0.076,70.378
0.077,70.414
0.078,70.449
0.079,70.485
0.08,70.52
0.081,70.556
0.082,70.591
0.083,70.627
0.084,70.663
0.085,70.699
0.08600000000000001,70.735
0.08700000000000001,70.771
0.08800000000000001,70.807
0.089,70.843
0.09,70.879
0.091,70.915
0.092,70.951
0.093,70.987
0.094,71.023
0.095,71.06
0.096,71.096
0.097,71.132
0.098,71.169
0.099,71.205
0.1,71.242
0.101,71.278
0.10200000000000001,71.315
0.10300000000000001,71.352
0.10400000000000001,71.388
0.10500000000000001,71.425
0.106,71.462
0.107,71.499
0.108,71.536
0.109,71.573
0.11,71.61
0.111,71.647
0.112,71.684
0.113,71.721
0.114,71.758
0.115,71.796
0.116,71.833
0.117,71.87
0.11800000000000001,71.908
0.11900000000000001,71.945
0.12000000000000001,71.983
0.121,72.02
0.122,72.058
0.123,72.095
0.124,72.133
0.125,72.171
0.126,72.209
0.127,72.246
0.128,72.284
0.129,72.322
0.13,72.36
0.131,72.398
0.132,72.436
0.133,72.474
0.134,72.513
0.135,72.551
0.136,72.589
0.137,72.627
0.138,72.666
0.139,72.704
0.14,72.743
0.14100000000000001,72.781
0.14200000000000002,72.82
0.14300000000000002,72.858
